검색어,기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
한아름,한아름,중소기업,경기 김포시,쇼핑몰·오픈마켓·소셜커머스,"5,000만원(2019.12.31)",11억 7천만원(2019.12.31),우원준,2019.01.02(7년차)
한아름,한아름,중소기업,대전 중구,전자상거래 소매업,-,-,김동은,2018.10.16(8년차)
영남정보통신,영남정보통신,중소기업,부산 금정구,네트워크·통신서비스,3억원,10억원,박건영,2016.01.05(10년차)
와이즈웨딩,와이즈웨딩,중소기업,서울 강남구,웨딩·상조·이벤트,2억원,43억,손혜경,-
와이엠디,와이엠디,중소기업,서울 강남구,건축·설비·환경,3억원,50억,김강*,2016.02.25(10년차)
와이엠디,와이엠디,중소기업,서울 서초구,응용 소프트웨어 개발 및 공급업,"1억 5,000만원(2018.12.31)",18억 7천만원(2018.12.31),이요민,2013.03.26(13년차)
와이엠디,와이엠디,-,-,-,-,-,임유미,-
와이엠디,와이엠엠디,중소기업,경기 수원시,음식료·외식·프랜차이즈,-,-,ymmd,2021.03.01(5년차)
와이엠디,와이엠디,중소기업,경기 파주시,소파 및 기타 내장가구 제조업,"6억 7,773만원(2023.12.31)",67억 2천만원(2023.12.31),이영주,2015.02.01(11년차)
파이릭스건설,파이릭스건설,중소기업,경기 안양시,건물 건설업,5억원(2021.12.31),23억 8천만원(2021.12.31),임병국,2003.06.21(23년차)
브레이브엔터테인먼트,브레이브엔터테인먼트,중소기업,서울 광진구,녹음시설 운영업,41억 4천만원(2024.12.31),12억 7천만원(2024.12.31),강동철,2012.07.04(14년차)
서울시립은평노인종합복지관,서울시립은평노인종합복지관,비영리법인,서울 은평구,종합복지관 운영업,-,-,김승자,1999.07.01(27년차)
동성이앤지,동성이엔지㈜,중소기업,경기 화성시,기계·기계설비,3억원,64억,문상석,2003(23년차)
동성이앤지,동성ENG,-,-,-,-,-,이현승,-
동성이앤지,동성ENG,-,-,-,-,-,김영배,2007.12.17(19년차)
광개토,광개토,중소기업,서울 양천구,경비 및 경호 서비스업,2억원(2024.12.31),132억 9천만원(2024.12.31),김종호,2014.06.01(12년차)
광개토,광개토,중소기업,경기 하남시,육류 가공식품 도매업,"5,000만원(2023.12.31)",94억 3백만원(2023.12.31),김우철,2012.08.14(14년차)
광개토,광개토,벤처기업,서울 강남구,솔루션·SI·CRM·ERP,-,-,강민수,2002.09.18(24년차)
광개토,광개토,중소기업,경기 양주시,쇼핑몰·오픈마켓·소셜커머스,3억원,200억,배범식,2001.02.02(25년차)
광개토,광개토,중소기업,서울 양천구,농축산·어업·임업,-,-,권희재,-
광개토,광개토,중소기업,경기 남양주시,전지 및 케이블 도매업,1억원(2023.12.31),43억 8천만원(2023.12.31),이계원,2013.05.27(13년차)
광개토,광개토,중소기업,서울 성동구,경영 컨설팅업,"1,000만원(2023.12.31)","4억 9,614만원(2023.12.31)",신영재,2015.03.04(11년차)
광개토,광개토,중소기업,서울 강서구,응용 소프트웨어 개발 및 공급업,-,-,정송현,-
광개토,광개토,-,-,-,-,-,김성우,-
광개토,광개토,중소기업,서울 종로구,회계·세무·법무,-,-,임미희,-
온푸른,온푸른,중소기업,경기도 성남시,데이터베이스 및 온라인정보 제공업,"3억 3,000만원(2017.12.31)","7억 4,143만원(2017.12.31)",이승훈,2009.02.20(17년차)
마이팝,마이팝,중소기업,서울 중랑구,가방 및 기타 보호용 케이스 제조업,"2억 5,000만원(2021.12.31)",19억 5천만원(2021.12.31),이장철,2012.10.02(14년차)
